Titre construit,1er responsable,Responsables,Code-barres,Cote,Résumé (notice),Genre
Les Roseaux sauvages,"Téchiné, André",André Téchiné ...,2056453,DVD ROS,"Sur fond de guerre d'Algérie, les émois de quatre adolescents. Des jeunes acteurs en état de grâce au service d'une mise en scène remarquable. Un film d'une justesse infinie. Infos DVD : DVD 9 / Interview, documentaire, portrait, scènes commentées, making of, bande-annonce.",Film de guerre
Les secrets des autres,"Wang, Patrick",Patrick Wang ...,2140187,DVD SEC,"Adapté d'un roman de Leah Hager Cohen, salué par la critique américaine, ""Les secrets des autres"" raconte l'histoire d'une famille hantée par un destin tragique. Une visite inattendue va à la fois rouvrir des blessures enfouies, et offrir une voie de sortie à ce deuil irrésolu.",Drame
Les siffleurs,"Porumboiu, Corneliu",Corneliu Porumboiu ...,2177590,DVD SIF,"Cristi est un inspecteur de police de Bucarest désabusé et corrompu. Embarqué malgré lui par la sulfureuse Gilda sur l'île de la Gomera, il doit apprendre le Silbo, une langue sifflée ancestrale, dans le but d'aider un groupe mafieux à faire évader Zsolt. En effet, seul ce dernier sait où sont cachés 30 millions d'euros issus du trafic de drogue. Mais c'était sans compter sur la police, à la recherche de ce même butin. Et de l'amour qui va s'en mêler. En bonus : Entretien avec Corneliu Porumboiu, scènes coupées. ""[...] splendide farce que [...] ses ""Siffleurs"", à la fois polar, western, satire sociale et comédie très musicale, film d'aventure et d'espionnage, d'obscurité vénéneuse et d'incessant feu d'artifice visuel, de surveillance parano ultracontemporaine et de ravissements archaïques."" Libération - Julien Gester ""La mélodie des ""Siffleurs"" atteint une méditation ludique et entêtante sur la nécessité des promesses poétiques, cachées on ne sait où dans ce monde qui nous prend à la gorge."" Cahiers du Cinéma - Joachim Lepastier ""Corneliu Porumboiu ironise sur le genre tout en l'alambiquant à l'extrême. Une réussite."" L'Humanité - Vincent Ostria ""Première incursion du cinéaste dans l'univers du film policier, ""Les siffleurs"" opte pour une approche clinique des motifs inhérents au genre (trafics, plans et moyens d'action, exécutions des traîtres, etc.), privilégiant, dans le traitement des enjeux, une dimension antispectaculaire."" Positif - Baptiste Roux """"Les siffleurs"" se révèle un divertissement de haute volée, inventif et très plaisant, qui devrait permettre au plus caustique des cinéastes roumains de toucher un plus large public sans se renier."" Télérama - Samuel Douhaire",Western
Les Soeurs Brontë,"Téchiné, André","André Téchiné, réal.",2188417,DVD SOE,"Charlotte Brontë évoque certains épisodes de sa vie avec sa famille dans l'Angleterre du début du XIXème siècle : le quotidien avec son père pasteur, ses soeurs Anne et Emily, qui aspiraient comme elle à devenir écrivains, et son frère Barnwell, un peintre au tempérament passionné. En bonus : Documentaire rétrospectif sur le tournage du film, avec la participation d'André Téchiné et de ses interprètes et techniciens, bande-annonce du film.",Histoire vraie
Les suffragettes,"Gavron, Sarah (1970 - ...)",Sarah Gavron ...,2140570,DVD SUF,"Au début du siècle dernier, en Angleterre, des femmes de toutes conditions décident de se battre pour obtenir le droit de vote. Face à leurs revendications, les réactions du gouvernement sont de plus en plus brutales et les obligent à entrer dans la clandestinité pour une lutte de plus en plus radicale. Puisque les manifestations pacifiques n'ont rien donné, celles que l'on appelle les suffragettes finissent par avoir recours à la violence pour se faire entendre. Dans ce combat pour l'égalité, elles sont prêtes à tout risquer : leur travail, leur maison, leurs enfants, et même leur vie. Maud est l'une de ces femmes. Jeune, mariée, mère, elle va se jeter dans le tourbillon d'une histoire que plus rien n'arrêtera.",Action
Les terrasses,"Allouache, Merzak (1944 - ...)",Merzak Allouache ...,2144185,DVD TER,"De l'aube à la nuit, au rythme des appels à la prière. Une foule étonnante grouille et s'agite sur les terrasses d'Alger. Des espaces clos, devenus miroirs à ciel ouvert des contradictions, de la violence, de l'intolérance, des conflits sans fin qui minent la société algérienne. Cinq quartiers, cinq histoires, un regard moqueur et sans concession sur l'Algérie d'aujourd'hui.",Science-fiction
Les Toits de Paris,"Saleem, Hiner",Hiner Saleem ...,2105191,DVD TOI,"Sous les toits de Paris, il fait très chaud en été, surtout quand on est vieux et pauvre. Aussi est-il est bon d'aller à la piscine avec un ami. Humour, tendresse et pudeur pour évoquer la vieillesse.",Comédie
Les Travaux et les jours (de Tayoko Shiojiri dans le bassin de Shiotani),"Edström, Anders","Anders Edström, C. W. Winter ...",2185674,DVD TRA,"""Les travaux et les jours"" est une chronique qui raconte, au fil des saisons, le quotidien d'une agricultrice, Tayoko Shiojiri, dans un village des montagnes de la région de Kyoto, dessinant le portrait d'une femme, d'une famille, d'un terrain, d'un paysage sonore et d'un autre rapport au temps.",Biopic
Les vacances du petit Nicolas,"Tirard, Laurent",Laurent Tirard ...,2134098,DVDJ VAC,"Le petit Nicolas, ses parents et Mémé prennent la route en direction de la mer. Sur la plage, Nicolas se fait vite de nouveaux copains. Une chose est sûre : ce sera, pour tout le monde, des vacances inoubliables... Un film sous influences estivales, festives et délirantes...",Drame
Les valseuses,"Blier, Bertrand",Bertrand Blier ...,2144186,DVD VAL,"Un humour décapant, des dialogues provocants, une vision non conformiste... Trois comédiens extraordinaires... Un classique...",Comédie
Les vétos,"Manoukian, Julie (1982 - ...)",Julie Manoukian ...,2177637,DVD VET,"Au coeur du Morvan, Nico, dernier véto du coin, se démène pour sauver ses patients, sa clinique et sa famille. Quand Michel, son associé et mentor, lui annonce son départ à la retraite, Nico sait que le plus dur est à venir. ""T'en fais pas, j'ai trouvé la relève."" Sauf que... La relève c'est Alexandra, diplômée depuis 24 heures, brillante, misanthrope, et pas du tout d'accord pour revenir s'enterrer dans le village de son enfance. Nico parviendra-t-il à la faire rester ? ""[...] une comédie sociétale sans langue de bois ni mièvrerie, premier long métrage [...] faisant preuve d'un indéniable talent pour la construction des personnages (dont elle ne masque pas les aspects antipathiques ni les failles), la justesse du jeu d'acteur, le rythme des dialogues, la véracité du milieu (les gestes, les intonations et même les costumes sont crédibles), avec quelques piques antisexistes bienvenues."" Positif - Yann Tobin",Comédie
Les veuves,"Mcqueen, Steve (1969 - ...)",Steve Mcqueen ...,2171254,DVD VEU,"Chicago, de nos jours. Quatre femmes qui ne se connaissent pas. Leurs maris viennent de mourir lors d'un braquage qui a mal tourné, les laissant seules avec une lourde dette à rembourser... Elles n'ont rien en commun mais décident d'unir leurs forces pour terminer ce que leurs époux avaient commencé. Et prendre leur propre destin en main...",Fantasy / Merveilleux
Les Vieux chats,"Peirano, Pedro","Pedro Peirano, Sebastian Silva ...",2116731,DVD VIE,"Santiago du Chili. Rosario, fille cupide accompagnée de sa compagne, vient troubler la paisible retraite d'Isadora, sa mère atteinte d'Alzheimer. Une chronique familiale tour à tour cocasse et pathétique.",Drame
l'Esprit de la ruche,"Erice, Victor",Victor Erice ...,2107701,DVD ESP,,Drame
L'Esquive / La Faute à Voltaire,"Kechiche, Abdellatif",Abdellatif Kechiche ...,2092197,DVD ESQ,"Une cité H.L.M. en banlieue parisienne. Une professeur de français, éprise de Marivaux en pleine répétition du spectacle monté par sa classe... Avec le langage et les moeurs des jeunes de banlieue, un film qui parle d'amour. Une approche intelligente d'un milieu mal compris.","Romance, sentimental"
L'Etabli,"Gokalp, Mathias",Mathias Gokalp ...,2197640,DVD ETA,"Quelques mois après mai 68, Robert, normalien et militant d'extrême-gauche, décide de se faire embaucher chez Citroën en tant que travailleur à la chaîne. Comme d'autres de ses camarades, il veut s'infiltrer en usine pour raviver le feu révolutionnaire, mais la majorité des ouvriers ne veut plus entendre parler de politique. Quand Citroën décide de se rembourser des accords de Grenelle en exigeant des ouvriers qu'ils travaillent 3 heures supplémentaires par semaine à titre gracieux, Robert et quelques autres entrevoient alors la possibilité d'un mouvement social.",Science-fiction
L'étalon noir,"Ballard, Carroll (1937 - ...)",Carroll Ballard ...,2157685,DVDJ ETA,"Lors d'un terrible naufrage, le jeune Alec Ramsey se découvre un sauveteur peu ordinaire : un superbe étalon d'Arabie, noir comme l'ébène. L'enfant et le cheval parviennent à se réfugier sur une île. Sauvés et ramenés en Amérique, ils rencontrent un vieux dresseur de chevaux qui devine toute la force de l'animal, fait d'Alec un jockey et les prépare à affronter les meilleurs pur-sang du monde dans la ""course du siècle""...Oscar du meilleur son, Etats-Unis, 1980",Fantasy / Merveilleux
L'Eternité et un jour,"Angelopoulos, Théo (1935 - 2012)",Théo Angelopoulos ...,2056450,DVD ETE,"Un homme condamné et un enfant pourchassé tentent de percer le brouillard pour retrouver le chemin de la vie... (Palme d'or, Cannes 1998). Infos DVD : LG : Fra, Gre / S-T : Fra / Chapitrage, entretien de D. Rabourdin avec T. Angelopoulos.",Drame
L'Etrange affaire Angelica,"Oliveira, Manoel de",Manoel de Oliveira ...,2121248,DVD ETR,"Un photographe, appelé d'urgence pour faire le portrait d'une jeune morte, est sidéré par sa beauté. Sous son objectif, elle semble reprendre vie. Un film d'une richesse inouïe, une fable sans fin, un kaléidoscope.",Biopic
L'Etrangère,"Aladag, Feo (1972 - ...)",Feo Aladag ...,2112956,DVD ETR,"Pour protéger son fils de son mari violent, une femme turque d'origine allemande quitte Istanbul et rejoint sa famille à Berlin. Machisme, omerta, code d'honneur familial, un premier film sombre et puissant.",Drame
L'Etreinte,"Bergery, Ludovic",Ludovic Bergery ...,2188962,DVD ETR,"Margaux a perdu son mari et commence une nouvelle vie. Elle s'installe chez sa soeur et s'inscrit à l'université pour reprendre des études de littérature. Mais rapidement, elle ressent le besoin d'autres émotions. Elle part en quête d'amour, au risque de s'y perdre...Court métrage ""L'Accara rouge"" de Ludovic Bergery (2003), entretien avec Emmanuelle Béart et Vincent Dedienne, bandes-annonces. ""A l'écran, ce plaisir retrouvé se voit. Emmanuelle Béart apparaît à la fois solaire, sûre et tranquille, alors même que son personnage se trouve à un point de bascule, entre ce qui a été, dramatique, et ce qui peut advenir, incertain. Le chemin des possibles est ouvert."" Le Dauphiné Libéré - Nathalie Chifflet ""Réalisé avec sobriété et faisant la part belle à des silences qui en disent plus long que les dialogues explicatifs, ce portrait à vif donne l'occasion à Emmanuelle Béart d'incarner son plus beau rôle récent."" Marianne - Olivier De Bruyn ""Malgré quelques scènes qui auraient gagné à être écourtées, le réalisateur, dont c'est le premier long métrage, manie avec dextérité silences savamment distillés et ambiances claires-obscures, pour dresser le tableau sensuel et juste d'une délicate et émouvante reconnexion à la vie."" aVoir-aLire.com - Claudine Levanneur",Aventure
L'étreinte du serpent,"Guerra, Ciro (1981 - ...)",Ciro Guerra ...,2141126,DVD ETR,"Karamakate, chaman amazonien, le dernier survivant de son peuple, vit isolé dans les profondeurs de la jungle. Il est devenu un chullachaqui, la coquille vide d'un homme, privée d'émotions et de souvenirs. Sa vie bascule lorsqu'Evan, un ethnobotaniste américain, débarque dans sa tanière à la recherche de la yakruna, une mystérieuse plante hallucinogène capable d'apprendre à rêver. Karamakate se joint à sa quête et ils entreprennent un voyage au coeur de la jungle.",Aventure
Lettre à Franco,"Amenabar, Alejandro (1972 - ...)",Alejandro Amenabar ...,2177984,DVD LET,"Espagne, été 1936. Le célèbre écrivain Miguel de Unamuno décide de soutenir publiquement la rébellion militaire avec la conviction qu'elle va rétablir l'ordre. Pendant ce temps, fort de ses succès militaires, le général Francisco Franco prend les rênes de l'insurrection. Alors que les incarcérations d'opposants se multiplient, Miguel de Unamuno se rend compte que l'ascension de Franco au pouvoir est devenue inéluctable. En bonus : ""Franco, fragments de mémoire"" : un documentaire revenant sur l'Espagne franquiste et ce qu'elle aura laissé au pays encore aujourd'hui, Conférence de presse avec l'équipe du film durant sa diffusion au Festival de San Sebastian. ""Académique et sage dans sa forme, le film approche toutefois avec une finesse douloureuse le désarroi d'une classe intellectuelle face à la barbarie."" Télérama - Cécile Mury ""Un grand film historique qui montre dans un souffle tout autant romanesque que réaliste, la cruauté du régime militaire de Franco, obsédé par le purisme catholique et le conservatisme ultra-droitier."" aVoir-aLire.com - Laurent Cambon ""Une solide reconstitution historique."" Le Parisien - Michel Valentin",Film de guerre
Lettres de la guerre,"Ferreira, Ivo M. (1975 - ...)",Ivo M. Ferreira ...,2157666,DVD LET,"Un jeune médecin portugais, soldat pendant la guerre coloniale en Angola entre 1971 et 1973, envoie à sa femme des lettres d'amour poétiques, sensuelles et passionnées. Ce jeune homme, en train de devenir écrivain, c'est António Lobo Antunes dont 280 lettres ont été publiées en 2005. Elles sont l'inspiration du film qui en propose une lecture intime et leur donne vie.",Film de guerre
Level Five,"Marker, Chris",Chris Marker,2128343,DVD LEV,"Une femme (Laura), un ordinateur, un interlocuteur invisible. Cette femme a ""hérité"" d'une tâche : terminer l'écriture d'un jeu vidéo consacré à la bataille d'Okinawa, une tragédie pratiquement inconnue en Occident. Ses recherches la mènent à un mystérieux ""réseau"" parallèle à Internet, des informateurs et même des témoins de la bataille - parmi lesquels le cinéaste Nagisa Oshima. Laura accumule les pièces de la tragédie, jusqu'au moment où elles commencent à interférer avec sa propre vie. Comme tous les jeux vidéo, celui-là avance par ""niveaux"". Laura et son interlocuteur ont fini par en faire une métaphore de la vie elle-même et distribuent des levels à tout ce qui les entoure. Atteindra-t-elle Level Five ? Bonus : contient ""Junkopia"" un film de Chris Marker (1981, 6mn)",Film de guerre
L'Evénement,"Diwan, Audrey (1980 - ...)",Audrey Diwan ...,2185385,DVD EVE,"France, 1963. Anne, étudiante prometteuse, tombe enceinte. Elle décide d'avorter, prête à tout pour disposer de son corps et de son avenir. Elle s'engage seule dans une course contre la montre, bravant la loi. Les examens approchent, son ventre s'arrondit.",Thriller
Léviathan,"Zviaguintsev, Andreï",Andreï Zviaguintsev ...,2135754,DVD LEV,"Kolia habite une petite ville au bord de la mer de Barents, au nord de la Russie. Il tient un garage qui jouxte la maison où il vit avec sa jeune femme Lilia et son fils Roma qu'il a eu d'un précédent mariage. Vadim Cheleviat, le maire de la ville, souhaite s'approprier le terrain de Kolia, sa maison et son garage. Il tente d'abord de l'acheter, mais Kolia ne peut pas supporter l'idée de perdre tout ce qu'il possède, non seulement le terrain mais aussi la beauté qui l'entoure depuis sa naissance. Alors Vadim Cheleviat devient plus agressif.",Drame
L'exercice de l'Etat,"Schoeller, Pierre",Pierre Schoeller ...,2122764,DVD EXE,"Les coulisses de l'Etat du point de vue d'un ministre. Vigueur, vitesse, violence, les mécanismes du pouvoir démontés avec brio. Une belle acuité, une tension constante, une vraie réussite.",Horreur / Epouvante
L'extravagant voyage du jeune et prodigieux T.S. Spivet,"Jeunet, Jean-Pierre",Jean-Pierre Jeunet ...,2134086,DVDJ EXT,"T.S. Spivet vit dans un ranch isolé du Montana avec ses parents, sa soeur Gracie et son frère Layton. Petit garçon surdoué et passionné de science, il a inventé la machine à mouvement perpétuel, ce qui lui vaut de recevoir le très prestigieux prix Baird du Musée Smithsonian de Washington. Sans rien dire à sa famille, il part, seul, chercher sa récompense et traverse les Etats-Unis sur un train de marchandises... Une véritable réussite esthétique...",Western
L'Héritière,"Wyler, William",William Wyler ...,2103943,DVD HER,"Au début du siècle, une riche héritière est la cible d'un chasseur de dot. Une des oeuvres majeures de Wyler, une mise en scène très maîtrisée et une superbe interprétation de O.de Havilland.",Historique
L'hermine,"Vincent, Christian",Christian Vincent ...,2140184,DVD HER,"Michel Racine est un président de cour d'assises redouté. Aussi dur avec lui qu'avec les autres, on l'appelle ""le président à deux chiffres "". Avec lui, on en prend toujours pour plus de dix ans. Tout bascule le jour où Racine retrouve Ditte Lorensen-Coteret. Elle fait partie du jury qui va devoir juger un homme accusé d'homicide. Six ans auparavant, Racine a aimé cette femme. Presque en secret. Peut-être la seule femme qu'il ait jamais aimée.",Drame
L'heure de la sortie,"Marnier, Stéphane",Stéphane Marnier ...,2171426,DVD HEU,"Lorsque Pierre Hoffman intègre le prestigieux collège de Saint Joseph, il décèle chez les 3ème1 une hostilité diffuse et une violence sourde. De la curiosité à l'obsession, Pierre va tenter de percer leur secret....",Drame
L'Histoire de ma femme,"Enyedi, Ildiko (1955 - ...)",Ildiko Enyedi ...,2180312,DVD HIS,"Jakob est capitaine au long cours. Un jour, il fait un pari avec un ami dans un café : il épousera la première femme qui en franchira le seuil. C'est alors qu'entre Lizzy...",Western
L'homme aux mille visages,"Rodriguez, Alberto (1971 - ...)",Alberto Rodriguez ...,2157667,DVD HOM,"Francisco Paesa, ex-agent-secret espagnol, est engagé pour résoudre une affaire de détournement d'argent risquant d'entraîner un scandale d'Etat. L'homme y voit l'opportunité de s'enrichir tout en se vengeant du gouvernement qui l'a trahi par le passé. Débute alors l'une des plus incroyables intrigues politiques et financières de ces dernières années : l'histoire vraie d'un homme qui a trompé tout un pays et fait tomber un gouvernement. En bonus : Goyas de la meilleure révélation masculine (Carlos Santos) et de la meilleure adaptation, Espagne, 2017, Coquillage d'argent du meilleur acteur (Eduard Fernandez) au festival de San Sebastian, Espagne, 2016",Histoire vraie
L'homme irrationnel,"Allen, Woody (1935 - ...)",Woody Allen ...,2139768,DVD HOM,"Abe Lucas, professeur de philosophie, est un homme dévasté... Peu de temps après son arrivée dans l'université d'une petite ville, Abe entame deux liaisons : l'une avec Rita, une collègue désemparée par son mari, l'autre avec Jill, une brillante étudiante... Le hasard le plus total bouscule le destin de nos personnages dès lors qu'Abe et Jill surprennent la conversation d'un étranger et s'y intéressent tout particulièrement. Après avoir pris une décision cruciale, Abe est de nouveau à même de jouir pleinement de la vie. Mais ce choix déclenche une série d'événements qui les marqueront à tout jamais.",Policier et espionnage
L'homme qui a surpris tout le monde,"Chupov, Aleksey (1973 - ...)","Aleksey Chupov, Natalya Merkulova ...",2171663,DVD HOM,"Dans la Taïga sibérienne, Egor est un bon père de famille et un bon mari respecté par ses concitoyens. Lui et sa femme Natalia attendent un deuxième enfant. Mais un jour Egor découvre qu'il est atteint d'un cancer incurable et qu'il ne lui reste plus que deux mois à vivre. Sans espoir de rémission, Egor va tenter de tromper la mort...",Drame
L'homme qui murmurait à l'oreille des chevaux,"Redford, Robert",Robert Redford ...,2141121,DVD HOM,"Suite à un grave accident, une jeune fille et son cheval sont marqués à jamais physiquement et psychologiquement. La mère décide de mettre entre parenthèse sa vie de femme d'affaires citadine pour retrouver dans l'Ouest américain un ""homme qui murmure à l'oreille des chevaux"" : cet homme a le pouvoir de soigner et comprendre les chevaux... mais aussi les hommes. Un hymne à la nature, néoclassique, lyrique, sentimental et poétique, dans la veine des films de John Ford...","Romance, sentimental"
L'homme qui venait d'ailleurs,"Roeg, Nicolas",Nicolas Roeg ...,2148493,DVD HOM,"Thomas Jérôme Newton semble avoir survécu à un crash aérien au Nouveau Mexique. Il se dit britannique et apporte avec lui neuf brevets scientifiques révolutionnaires. Propulsé à la tête d'un empire financier colossal, il manifeste très vite un comportement étrange qui trahira ses véritables origines. Des images splendides, et David Bowie très convaincant en extraterrestre...",Science-fiction
L'Homme qui voulut être roi,"Huston, John",John Huston ...,2118783,DVD HOM,"Deux aventuriers anglais, superbement ""hustoniens"", partent pour l'Inde chercher gloire et fortune. Un des fleurons du cinéma d'aventure doublé d'une réflexion sur la parole donnée.",Aventure
L'homme qu'on aimait trop,"Téchiné, André",André Téchiné ...,2177836,DVD HOM,"Après l'échec de son mariage, Agnès Le Roux tombe follement amoureuse de l'avocat de sa mère. Après avoir été manipulée pour destituer sa mère de la direction du casino familial, elle disparaît... Un récit qui oscille entre deux points de vue : l'affaire judiciaire qui continue à défrayer la chronique et l'histoire d'amour d'une femme bafouée...",Policier et espionnage
Liaisons dangereuses,"Vadim, Roger",Roger Vadim ...,2057179,DVD LIA,Une curiosité du cinéma français qui fit scandale lors de sa sortie. Des bourgeois désoeuvrés assez loin des libertins imaginés par Laclos mais une Jeanne Moreau superbement maléfique.,Drame
Liberté,"Gatlif, Tony (1948 - ...)",Tony Gatlif ...,2197709,DVD LIB,"Pendant la Seconde Guerre mondiale, Théodore, vétérinaire et maire d'un village, et Mademoiselle Lundi, l'institutrice, font la connaissance des Tsiganes qui se sont installés à quelques pas de là. Mais les contrôles d'identité imposés par le régime de Vichy se multiplient et les Tsiganes, peuple nomade, n'ont plus le droit de circuler librement. La pression de la police de Vichy et de la Gestapo s'intensifie et le danger menace à chaque instant...",Film de guerre
Libre Garance !,"Diaz, Lisa",Lisa Diaz ...,2197613,DVD LIB,"C'est l'été 82. Garance a onze ans et vit dans un hameau reculé des Cévennes où ses parents tentent de mener une vie alternative. Quand deux activistes italiens braquent une banque dans les environs, cela tourne mal. Cet évènement vient chambouler la vie de Garance et de sa famille...",Science-fiction
Licorice pizza,"Anderson, Paul Thomas (1970 - ...)",Paul Thomas Anderson ...,2180202,DVD LIC,"1973, dans la région de Los Angeles. Alana Kane et Gary Valentine font connaissance le jour de la photo de classe au lycée du garçon. Alana n'est plus lycéenne, mais tente de trouver sa voie tout en travaillant comme assistante du photographe. Gary, lui, a déjà une expérience d'acteur, ce qu'il s'empresse de dire à la jeune fille pour l'impressionner. Amusée et intriguée par son assurance hors normes, elle accepte de l'accompagner à New York pour une émission de télévision. Mais rien ne se passe comme prévu...",Drame
L'Idiot !,"Bykov, Yuri (1981 - ...)",Yuri Bykov ...,2177414,DVD IDI,"Dima est un jeune plombier qui doit gérer les canalisations des logements sociaux d'un quartier d'une petite ville de Russie. Un soir, lors d'une inspection de routine, il découvre une énorme fissure qui court le long des façades de l'immeuble. Selon ses calculs, le bâtiment est sur le point de s'effondrer et d'ensevelir les 800 locataires qui y vivent. Une course contre la montre va s'engager...",Policier et espionnage
Life,"Corbijn, Anton",Anton Corbijn ...,2140578,DVD LIF,Un jeune photographe qui cherche à se faire un nom croise un acteur débutant et décide de lui consacrer un reportage. Cette série de photos iconiques rendit célèbre le photographe Dennis Stock et immortalisa celui qui allait devenir une star : James Dean...,Drame
Light of my life,"Affleck, Casey (1975 - ...)",Casey Affleck ...,2188797,DVD LIG,"Dix ans après une terrible pandémie où la population féminine a été éradiquée, un père tâche de protéger Rag, sa fille unique, miraculeusement épargnée. Il lui apprend la survie et l'élève seul dans les bois, loin du reste de l'humanité. ""En artisan inquiet, Casey Affleck propose une errance apocalyptique sur fond d'introspection. Touchant, incisif et parfois dérangeant, son premier long-métrage de fiction impressionne la rétine."" Ecran Large - Simon Riaux ""Survival antispectaculaire, ce n'est pas tant le monde apocalyptique qui compte ici, mais la façon d'y construire un monde à soi. C'est la question, simple, du film : dans un monde d'hommes, quel homme peut-on être ?"" Cahiers du Cinéma - Fernando Ganzo ""Avec délicatesse et poésie, ""Light of my life"" met l'accent sur les violences et les bontés de mère Nature, et sur la beauté de l'amour filial. Bouleversant."" Le Point - Victoria Gairin ""Casey Affleck réussit un joli conte autour de la transmission et du pouvoir de la fiction, dans un film d'une grande sobriété."" aVoir-aLire.com - Thomas Bonicel","Romance, sentimental"
L'Ile,"Lounguine, Pavel",Pavel Lounguine ...,2089807,DVD ILE,"En Russie, sur une île, selon la rumeur, un moine posséderait le pouvoir de guérir les malades, d'exorciser les démons et de prédire l'avenir. Un éblouissement formel, un film hiératique et charismatique... Infos DVD : 1 DVD-9 / 2, 35:1 / 16/9 comp. 4/3 / Dolby Digital 2.0 / LG : Rus / S-T : Fre / Contient un livret sur l'orthodoxie (16 pages), bande-annonce.",Fantasy / Merveilleux
l'Ile de Nim,"Flackett, Jennifer","Jennifer Flackett, Mark Levin ...",2109671,DVDJ ILE,"Les aventures de Nim, une petite fille de huit ans qui vit sur une île déserte. Un bon divertissement pour les enfants, sans surprises, mais dont se dégagent charme et émotion.",Drame
Lillian,"Horvath, Andreas (1968 - ...)",Andreas Horvath,2177838,DVD LIL,"Lillian, échouée à New York, décide de rentrer à pied dans sa Russie natale. Seule et déterminée, elle entame un long voyage à travers l'Amérique profonde pour tenter d'atteindre l'Alaska et traverser le détroit de Béring... En bonus : Entretien avec Andreas Horvath, bande-annonce. ""Un film fascinant. Sa structure claire et simple, comme l'idée fixe de son héroïne, son ton loin du superlatif, son attention au concret captivent du début à la fin. Une grande réussite."" Les Fiches du Cinéma - La rédaction ""Découvert lors du dernier Festival de Cannes, ""Lillian"", du cinéaste autrichien Andreas Horvath, magistralement incarné par la jeune Patrycja Planik, est un sidérant voyage initiatique à pied à travers l'Amérique du Nord, de la côte Est à l'Alaska."" L'Humanité - Michèle Levieux ""Mais surtout, la magnificence des paysages américains pourtant hostiles au gré des saisons fait de ce périple un western planant, où les vues au drone alternent avec des inserts quasi entomologiques sur la mort d'une civilisation."" Positif - Yann Tobin ""Entre nature hostile et sauvagerie des hommes, une odyssée fascinante."" Télérama - Samuel Douhaire",Western
Lillian / Thirteen,"Williams, David",David Williams,2217087,DVD LIL,"Un coffret complet pour présenter l'oeuvre d'un cinéaste américain totalement indépendant. Une oeuvre très personnelle, entre fiction et cinéma-vérité, fiction et cinéma expérimental... à découvrir",Expérimental
Limbo,"Sharrock, Ben",Ben Sharrock ...,2197074,DVD LIM,"Sur une petite île de pêcheurs en Ecosse, un groupe de demandeurs d'asile attend de connaitre son sort. Face à des habitants loufoques et des situations ubuesques, chacun s'accroche à la promesse d'une vie meilleure. Parmi eux se trouve Omar, un jeune musicien syrien, qui transporte où qu'il aille l'instrument légué par son grand-père.",Drame
L'Immensità,"Crialese, Emanuele (1965 - ...)",Emanuele Crialese ...,2197477,DVD IMM,"Rome dans les années 1970. Dans la vague des changements sociaux et culturels, Clara et Felice Borghetti ne s'aiment plus mais sont incapables de se quitter. Désemparée, Clara trouve refuge dans la relation complice qu'elle entretient avec ses trois enfants, en particulier avec l'aînée née dans un corps qui ne lui correspond pas. Faisant fi des jugements, Clara va insuffler de la fantaisie et leur transmettre le goût de la liberté, au détriment de l'équilibre familial...",Policier et espionnage
L'Important c'est d'aimer,"Zulawski, Andrzej (1940 - ...)",Andrzej Zulawski ...,2197414,DVD IMP,"Nadine et Servais mènent une vie tranquille et presque rangée, jusqu'à ce qu'ils se rencontrent...",Drame
Lincoln,"Spielberg, Steven",Steven Spielberg ...,2126070,DVD LIN,"Les derniers mois tumultueux du mandat du 16e président des Etats-Unis. Dans une nation déchirée par une guerre civile interminable, Abraham Lincoln met tout en oeuvre pour résoudre le conflit, unifier le pays et abolir l'esclavage. Cet homme doté d'une détermination et d'un courage moral exceptionnels va devoir faire des choix qui bouleverseront le destin des générations à venir. Un combat politique doublé d'une fresque intimiste.",Film de guerre
L'incomprise,"Argento, Asia (1975 - ...)",Asia Argento ...,2138760,DVD INC,"Aria, neuf ans, fait face à la séparation très violente de ses parents. Au milieu de leurs disputes, mise à l'écart par ses demi-soeurs, elle ne se sent pas aimée. Ballotée de l'un à l'autre, elle erre à travers la ville avec son sac à dos et son chat noir. Frôlant le désespoir, elle essaie de préserver son innocence.",Expérimental
L'inconnu du lac,"Guiraudie, Alain",Alain Guiraudie ...,2126962,DVD INC,"L'été. Un lieu de drague entre hommes au bord d'un lac. Franck tombe amoureux de Michel. Un homme beau, puissant et mortellement dangereux. Franck le sait, mais il veut vivre cette passion. Un huis clos à ciel ouvert, un film politique aussi sur une communauté et ses codes, un grand film sur l'absolu du désir.","Romance, sentimental"
L'Incroyable histoire du facteur Cheval,"Tavernier, Nils","Nils Tavernier, Laurent Bertoni, Fanny Desmares ...",2171393,DVD INC,"Fin du XIXème siècle. Joseph Ferdinand Cheval, est un simple facteur qui parcourt chaque jour la Drôme, de village en village. Solitaire, il est bouleversé quand il rencontre la femme de sa vie, Philomène. De leur union naît Alice. Pour cette enfant qu'il aime plus que tout, Cheval se jette alors dans un pari fou : lui construire de ses propres mains, un incroyable palais. Jamais épargné par les épreuves de la vie, cet homme ordinaire n'abandonnera pas et consacrera 33 ans à bâtir une oeuvre extraordinaire : ""Le Palais idéal"". En bonus : Making of, visite guidée du Palais Idéal.",Historique
